Contig	Average_Coverage	Min_Coverage	Max_Coverage	Median_Coverage
Chromosome-24076/2	1.00	1	1	1.0
Chromosome-43866/2	1.00	1	1	1.0
Chromosome-76406/2	1.00	1	1	1.0
Chromosome-57518/2	1.00	1	1	1.0
Chromosome-47160/2	1.00	1	1	1.0
Chromosome-14298/1	1.00	1	1	1.0
Chromosome-36486/2	1.00	1	1	1.0
Chromosome-34930/2	1.00	1	1	1.0
Chromosome-66/1	1.00	1	1	1.0
Chromosome-43650/2	1.00	1	1	1.0
Chromosome-58900/1	1.00	1	1	1.0
Chromosome-21994/2	1.00	1	1	1.0
Chromosome-19410/2	1.00	1	1	1.0
Chromosome-1366/2	1.00	1	1	1.0
Chromosome-58780/2	1.00	1	1	1.0
Chromosome-58794/2	1.00	1	1	1.0
Chromosome-32402/1	1.00	1	1	1.0
Chromosome-16122/1	1.00	1	1	1.0
Chromosome-24332/1	1.00	1	1	1.0
Chromosome-5610/1	1.00	1	1	1.0
Chromosome-1142/1	1.00	1	1	1.0
Chromosome-19146/1	1.00	1	1	1.0
Chromosome-54980/1	1.00	1	1	1.0
Chromosome-67834/1	1.00	1	1	1.0
Chromosome-13050/2	1.00	1	1	1.0
Chromosome-42006/2	1.00	1	1	1.0
Chromosome-60916/1	1.00	1	1	1.0
Chromosome-19102/1	1.00	1	1	1.0
Chromosome-20498/1	1.00	1	1	1.0
Chromosome-47166/2	1.00	1	1	1.0
Chromosome-42878/1	1.00	1	1	1.0
Chromosome-75818/2	1.00	1	1	1.0
Chromosome-44338/2	1.00	1	1	1.0
Chromosome-23406/1	1.00	1	1	1.0
Chromosome-63678/2	1.00	1	1	1.0
Chromosome-58366/1	1.00	1	1	1.0
Chromosome-3846/2	1.00	1	1	1.0
Chromosome-12132/1	1.00	1	1	1.0
Chromosome-14248/1	1.00	1	1	1.0
Chromosome-16960/1	1.00	1	1	1.0
Chromosome-454/1	1.00	1	1	1.0
Chromosome-11396/1	1.00	1	1	1.0
Chromosome-50198/2	1.00	1	1	1.0
Chromosome-4812/2	1.00	1	1	1.0
Chromosome-67760/1	1.00	1	1	1.0
Chromosome-52634/1	1.00	1	1	1.0
Chromosome-70042/1	1.00	1	1	1.0
Chromosome-58794/1	1.00	1	1	1.0
Chromosome-32878/2	1.00	1	1	1.0
Chromosome-76620/2	1.00	1	1	1.0
Chromosome-22976/1	1.00	1	1	1.0
Chromosome-58342/1	1.00	1	1	1.0
Chromosome-67920/2	1.00	1	1	1.0
Chromosome-19102/2	1.00	1	1	1.0
Chromosome-10956/1	1.00	1	1	1.0
Chromosome-42060/1	1.00	1	1	1.0
Chromosome-36360/2	1.00	1	1	1.0
Chromosome-26472/1	1.00	1	1	1.0
Chromosome-10168/1	1.00	1	1	1.0
Chromosome-47708/1	1.00	1	1	1.0
Chromosome-28444/1	1.00	1	1	1.0
Chromosome-23488/2	1.00	1	1	1.0
Chromosome-58580/1	1.00	1	1	1.0
Chromosome-17696/1	1.00	1	1	1.0
Chromosome-64696/2	1.00	1	1	1.0
Chromosome-41166/2	1.00	1	1	1.0
Chromosome-67990/1	1.00	1	1	1.0
Chromosome-36418/1	1.00	1	1	1.0
Chromosome-50328/1	1.00	1	1	1.0
Chromosome-59374/1	1.00	1	1	1.0
Chromosome-3994/1	1.00	1	1	1.0
Chromosome-5406/1	1.00	1	1	1.0
Chromosome-72256/1	1.00	1	1	1.0
Chromosome-24564/2	1.00	1	1	1.0
Chromosome-53866/2	1.00	1	1	1.0
Chromosome-21754/1	1.00	1	1	1.0
Chromosome-29704/1	1.00	1	1	1.0
Chromosome-3326/1	1.00	1	1	1.0
Chromosome-50928/1	1.00	1	1	1.0
Chromosome-64234/1	1.00	1	1	1.0
Chromosome-22044/2	1.00	1	1	1.0
Chromosome-61346/2	1.00	1	1	1.0
Chromosome-38728/2	1.00	1	1	1.0
Chromosome-18228/1	1.00	1	1	1.0
Chromosome-52046/2	1.00	1	1	1.0
Chromosome-27092/2	1.00	1	1	1.0
Chromosome-67224/1	1.00	1	1	1.0
Chromosome-15682/2	1.00	1	1	1.0
Chromosome-65116/1	1.00	1	1	1.0
Chromosome-66514/1	1.00	1	1	1.0
Chromosome-8082/1	1.00	1	1	1.0
Chromosome-48248/2	1.00	1	1	1.0
Chromosome-38112/1	1.00	1	1	1.0
Chromosome-47728/2	1.00	1	1	1.0
Chromosome-13830/2	1.00	1	1	1.0
Chromosome-1774/2	1.00	1	1	1.0
Chromosome-63680/1	1.00	1	1	1.0
Chromosome-49080/2	1.00	1	1	1.0
Chromosome-63634/1	1.00	1	1	1.0
Chromosome-3738/1	1.00	1	1	1.0
Chromosome-57634/2	1.00	1	1	1.0
Chromosome-30596/2	1.00	1	1	1.0
Chromosome-18424/1	1.00	1	1	1.0
Chromosome-47646/1	1.00	1	1	1.0
Chromosome-11130/1	1.00	1	1	1.0
Chromosome-31950/2	1.00	1	1	1.0
Chromosome-60950/2	1.00	1	1	1.0
Chromosome-56878/1	1.00	1	1	1.0
Chromosome-39482/1	1.00	1	1	1.0
Chromosome-65148/1	1.00	1	1	1.0
Chromosome-25008/2	1.00	1	1	1.0
Chromosome-36684/1	1.00	1	1	1.0
Chromosome-28494/2	1.00	1	1	1.0
Chromosome-3316/2	1.00	1	1	1.0
Chromosome-25116/1	1.00	1	1	1.0
Chromosome-4642/1	1.00	1	1	1.0
Chromosome-57308/1	1.00	1	1	1.0
Chromosome-30332/1	1.00	1	1	1.0
Chromosome-62178/1	1.00	1	1	1.0
Chromosome-34852/1	1.00	1	1	1.0
Chromosome-15532/1	1.00	1	1	1.0
Chromosome-67396/1	1.00	1	1	1.0
Chromosome-20456/1	1.00	1	1	1.0
